,customerID,tenure,PhoneService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,gender,SeniorCitizen,Partner,Dependents,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
27,8665-UTDHZ,1,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,Male,0,Yes,Yes,No phone service,DSL,No,Yes,No,No,No,No
28,5248-YGIJN,72,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,Male,0,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
29,8773-HHUOZ,17,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,Female,0,No,Yes,No,DSL,No,No,No,No,Yes,Yes
30,3841-NFECX,71,Yes,Two year,Yes,Credit card (automatic),96.35,6766.95,No,Female,1,Yes,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No
31,4929-XIHVW,2,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,Male,1,Yes,No,No,Fiber optic,No,No,Yes,No,Yes,Yes
32,6827-IEAUQ,27,Yes,One year,No,Mailed check,66.15,1874.45,No,Female,0,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No
33,7310-EGVHZ,1,Yes,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,Male,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
34,3413-BMNZE,1,Yes,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,Male,1,No,No,No,DSL,No,No,No,No,No,No
35,6234-RAAPL,72,Yes,Two year,No,Bank transfer (automatic),99.9,7251.7,No,Female,0,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No
36,6047-YHPVI,5,Yes,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,Male,0,No,No,No,Fiber optic,No,No,No,No,No,No
37,6572-ADKRS,46,Yes,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,Female,0,No,No,No,Fiber optic,No,No,Yes,No,No,No
38,5380-WJKOV,34,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,Male,0,No,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
39,8168-UQWWF,11,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,Female,0,No,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
40,8865-TNMNX,10,Yes,One year,No,Mailed check,49.55,475.7,No,Male,0,Yes,Yes,No,DSL,No,Yes,No,No,No,No
41,9489-DEDVP,70,Yes,Two year,Yes,Credit card (automatic),69.2,4872.35,No,Female,0,Yes,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No
42,9867-JCZSP,17,Yes,One year,No,Mailed check,20.75,418.25,No,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
43,4671-VJLCL,63,Yes,Two year,Yes,Credit card (automatic),79.85,4861.45,No,Female,0,No,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No
44,4080-IIARD,13,Yes,Month-to-month,Yes,Electronic check,76.2,981.45,No,Female,0,Yes,No,Yes,DSL,Yes,Yes,No,Yes,Yes,No
45,3714-NTNFO,49,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,Female,0,No,No,Yes,Fiber optic,No,No,No,No,No,Yes
46,5948-UJZLF,2,Yes,Month-to-month,No,Mailed check,49.25,97,No,Male,0,No,No,No,DSL,No,Yes,No,No,No,No
47,7760-OYPDY,2,Yes,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,Female,0,No,No,No,Fiber optic,No,No,No,No,Yes,No
48,7639-LIAYI,52,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,Male,0,No,No,Yes,DSL,Yes,No,No,Yes,Yes,Yes
49,2954-PIBKO,69,Yes,Two year,Yes,Credit card (automatic),64.15,4254.1,No,Female,0,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No
50,8012-SOUDQ,43,Yes,Month-to-month,Yes,Electronic check,90.25,3838.75,No,Female,1,No,No,Yes,Fiber optic,No,Yes,No,No,Yes,No
51,9420-LOJKX,15,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,Female,0,No,No,No,Fiber optic,Yes,Yes,No,No,Yes,Yes
52,6575-SUVOI,25,Yes,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,Female,1,Yes,No,Yes,DSL,Yes,No,No,Yes,Yes,No
53,7495-OOKFY,8,Yes,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,Female,1,Yes,No,Yes,Fiber optic,No,Yes,No,No,No,No
54,4667-QONEA,60,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,Female,1,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes
55,1658-BYGOY,18,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,Male,1,No,No,Yes,Fiber optic,No,No,No,No,Yes,Yes
56,8769-KKTPH,63,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,Female,0,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes
57,5067-XJQFU,66,Yes,One year,Yes,Electronic check,108.45,7076.35,No,Male,1,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
58,3957-SQXML,34,Yes,Two year,No,Credit card (automatic),24.95,894.3,No,Female,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
59,5954-BDFSG,72,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,Female,0,No,No,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
60,0434-CSFON,47,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,Female,0,Yes,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
61,1215-FIGMP,60,Yes,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,Male,0,No,No,Yes,Fiber optic,No,Yes,No,No,Yes,No
62,0526-SXDJP,72,No,Two year,No,Bank transfer (automatic),42.1,2962,No,Male,0,Yes,No,No phone service,DSL,Yes,Yes,Yes,No,No,No
63,0557-ASKVU,18,Yes,One year,Yes,Credit card (automatic),54.4,957.1,No,Female,0,Yes,Yes,No,DSL,No,No,Yes,Yes,No,No
64,5698-BQJOH,9,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,Female,0,No,No,Yes,Fiber optic,No,No,No,No,Yes,Yes
65,5122-CYFXA,3,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,Female,0,No,No,No,DSL,No,Yes,No,Yes,Yes,Yes
66,8627-ZYGSZ,47,Yes,One year,Yes,Electronic check,78.9,3650.35,No,Male,0,Yes,No,Yes,Fiber optic,No,Yes,No,No,No,No
67,3410-YOQBQ,31,Yes,Two year,No,Mailed check,79.2,2497.2,No,Female,0,No,No,No,DSL,No,Yes,Yes,Yes,Yes,Yes
68,3170-NMYVV,50,Yes,Two year,No,Bank transfer (automatic),20.15,930.9,No,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
69,7410-OIEDU,10,Yes,Month-to-month,Yes,Mailed check,79.85,887.35,No,Male,0,No,No,No,Fiber optic,Yes,No,Yes,No,No,No
70,2273-QCKXA,1,Yes,Month-to-month,No,Mailed check,49.05,49.05,No,Male,0,No,No,No,DSL,No,No,No,Yes,No,No
71,0731-EBJQB,52,Yes,One year,Yes,Electronic check,20.4,1090.65,No,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
72,1891-QRQSA,64,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099,No,Male,1,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
73,8028-PNXHQ,62,Yes,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,Male,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
74,5630-AHZIL,3,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,Female,0,No,Yes,No,DSL,Yes,No,No,Yes,No,Yes
75,2673-CXQEU,56,Yes,One year,No,Electronic check,110.5,6139.5,No,Female,1,No,No,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
76,6416-JNVRK,46,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,Female,0,No,No,No,DSL,No,No,No,No,No,Yes
77,5590-ZSKRV,8,Yes,Month-to-month,No,Mailed check,54.65,482.25,No,Female,0,Yes,Yes,No,DSL,Yes,Yes,No,No,No,No
78,0191-ZHSKZ,30,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,Male,1,No,No,No,DSL,Yes,Yes,No,No,Yes,Yes
79,3887-PBQAO,45,Yes,One year,Yes,Credit card (automatic),25.9,1216.6,No,Female,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
80,5919-TMRGD,1,Yes,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,Female,0,No,Yes,No,Fiber optic,No,No,No,No,Yes,No
81,8108-UXRQN,11,No,Month-to-month,No,Electronic check,50.55,565.35,No,Female,0,Yes,Yes,No phone service,DSL,Yes,No,No,No,Yes,Yes
82,9191-MYQKX,7,Yes,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,Female,0,Yes,No,No,Fiber optic,No,No,Yes,No,No,No
83,9919-YLNNG,42,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,Female,0,No,No,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
84,0318-ZOPWS,49,Yes,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,Female,0,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
85,4445-ZJNMU,9,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,Male,0,No,No,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
86,4808-YNLEU,35,Yes,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,Female,0,Yes,No,No,DSL,Yes,No,No,No,Yes,No
87,1862-QRWPE,48,Yes,Two year,No,Bank transfer (automatic),20.65,1057,No,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
88,2796-NNUFI,46,Yes,Two year,Yes,Mailed check,19.95,927.1,No,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
89,3016-KSVCP,29,No,Month-to-month,No,Mailed check,33.75,1009.25,No,Male,0,Yes,No,No phone service,DSL,No,No,No,No,Yes,No
90,4767-HZZHQ,30,Yes,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,Male,0,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,No,No
91,2424-WVHPL,1,Yes,Month-to-month,No,Electronic check,74.7,74.7,No,Male,1,No,No,No,Fiber optic,No,No,No,Yes,No,No
92,7233-PAHHL,66,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,Male,0,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes
93,6067-NGCEU,65,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107,No,Female,0,No,No,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
94,9848-JQJTX,72,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,Male,0,No,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
95,8637-XJIVR,12,Yes,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,Female,0,No,No,Yes,Fiber optic,Yes,No,No,No,No,No
96,9803-FTJCG,71,Yes,One year,Yes,Credit card (automatic),66.85,4748.7,No,Male,0,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No
97,0278-YXOOG,5,Yes,Month-to-month,No,Mailed check,21.05,113.85,Yes,Male,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
98,3212-KXOCR,52,Yes,Two year,No,Bank transfer (automatic),21.0,1107.2,No,Male,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
99,4598-XLKNJ,25,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,Female,1,Yes,No,No,Fiber optic,No,Yes,Yes,No,Yes,Yes
100,6380-ARCEH,1,Yes,Month-to-month,No,Mailed check,20.2,20.2,No,Male,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
101,3679-XASPY,1,Yes,Month-to-month,No,Electronic check,19.45,19.45,No,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
102,7123-WQUHX,38,Yes,One year,No,Bank transfer (automatic),95.0,3605.6,No,Male,0,No,No,Yes,Fiber optic,No,No,Yes,Yes,Yes,No
103,5386-THSLQ,66,No,One year,No,Bank transfer (automatic),45.55,3027.25,No,Female,1,Yes,No,No phone service,DSL,No,Yes,Yes,No,Yes,No
104,3192-NQECA,68,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,Male,0,Yes,No,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
105,6180-YBIQI,5,No,Month-to-month,No,Mailed check,24.3,100.2,No,Male,0,No,No,No phone service,DSL,No,No,No,No,No,No
106,6728-DKUCO,72,Yes,One year,Yes,Electronic check,104.15,7303.05,No,Female,0,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes
107,9750-BOOHV,32,No,One year,No,Mailed check,30.15,927.65,No,Female,0,No,No,No phone service,DSL,Yes,No,No,No,No,No
108,8597-CWYHH,43,Yes,One year,No,Mailed check,94.35,3921.3,No,Male,0,No,No,Yes,Fiber optic,No,No,No,No,Yes,Yes
109,2848-YXSMW,72,Yes,Two year,No,Credit card (automatic),19.4,1363.25,No,Male,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
110,0486-HECZI,55,Yes,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,Male,0,Yes,No,Yes,Fiber optic,Yes,Yes,No,No,Yes,No
111,4549-ZDQYY,52,Yes,One year,No,Credit card (automatic),57.95,3042.25,No,Female,0,No,No,No,DSL,Yes,No,Yes,Yes,No,No
112,5712-AHQNN,43,Yes,Month-to-month,Yes,Electronic check,91.65,3954.1,No,Female,0,No,No,No,Fiber optic,No,Yes,Yes,No,Yes,No
113,4846-WHAFZ,37,Yes,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes,Female,1,Yes,No,Yes,Fiber optic,No,No,No,No,No,No
114,5256-SKJGO,64,No,Two year,Yes,Electronic check,54.6,3423.5,No,Female,0,Yes,Yes,No phone service,DSL,No,Yes,No,Yes,Yes,Yes
115,3071-VBYPO,3,Yes,Month-to-month,No,Electronic check,89.85,248.4,No,Male,0,Yes,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No
116,9560-BBZXK,36,No,Two year,No,Bank transfer (automatic),31.05,1126.35,No,Female,0,No,No,No phone service,DSL,Yes,No,No,No,No,No
117,5299-RULOA,10,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,Female,0,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes
118,8402-OOOHJ,41,Yes,Two year,No,Mailed check,20.65,835.15,No,Female,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
119,9445-ZUEQE,27,Yes,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,No,Male,0,Yes,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No
120,1091-SOZGA,56,Yes,One year,Yes,Credit card (automatic),99.8,5515.45,No,Female,0,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
121,2928-HLDBA,6,Yes,Month-to-month,No,Mailed check,20.7,112.75,No,Female,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
122,0404-SWRVG,3,Yes,Month-to-month,Yes,Electronic check,74.4,229.55,Yes,Male,0,No,No,Yes,Fiber optic,No,No,No,No,No,No
123,6497-TILVL,7,Yes,Month-to-month,No,Mailed check,50.7,350.35,No,Female,0,Yes,Yes,No,DSL,Yes,No,No,No,No,No
124,7219-TLZHO,4,Yes,Month-to-month,No,Mailed check,20.85,62.9,No,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
125,4622-YNKIJ,33,Yes,Two year,Yes,Electronic check,88.95,3027.65,No,Male,0,No,No,No,Fiber optic,Yes,No,No,Yes,Yes,No
126,4412-YLTKF,27,Yes,Month-to-month,Yes,Electronic check,78.05,2135.5,Yes,Female,1,No,No,Yes,Fiber optic,No,No,Yes,No,No,No
127,6734-PSBAW,72,Yes,Two year,Yes,Bank transfer (automatic),23.55,1723.95,No,Male,0,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
128,3930-ZGWVE,1,Yes,Month-to-month,No,Mailed check,19.75,19.75,No,Male,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
129,2639-UGMAZ,71,No,One year,Yes,Electronic check,56.45,3985.35,No,Male,1,No,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes
130,2876-GZYZC,13,Yes,Month-to-month,Yes,Electronic check,85.95,1215.65,No,Female,0,No,No,Yes,Fiber optic,No,No,No,No,No,Yes
131,6207-WIOLX,25,No,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,Yes,Female,0,Yes,Yes,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes
132,8587-XYZSF,67,Yes,Two year,No,Bank transfer (automatic),50.55,3260.1,No,Male,0,No,No,No,DSL,No,No,No,Yes,No,No
133,3091-FYHKI,1,No,Month-to-month,Yes,Electronic check,35.45,35.45,Yes,Male,0,No,No,No phone service,DSL,No,No,No,No,No,Yes
134,2372-HWUHI,2,Yes,Month-to-month,No,Electronic check,44.35,81.25,Yes,Male,0,No,No,No,DSL,No,No,No,No,No,No
135,7799-LGRDP,43,Yes,Two year,Yes,Credit card (automatic),25.7,1188.2,No,Female,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
136,7850-VWJUU,23,Yes,Month-to-month,Yes,Bank transfer (automatic),75.0,1778.5,No,Female,0,No,No,No,Fiber optic,Yes,No,No,No,No,No
137,3774-VBNXY,64,Yes,Two year,No,Mailed check,20.2,1277.75,No,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
138,6217-KDYWC,57,Yes,Two year,Yes,Mailed check,19.6,1170.55,No,Male,0,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
139,0390-DCFDQ,1,Yes,Month-to-month,Yes,Mailed check,70.45,70.45,Yes,Female,1,Yes,No,No,Fiber optic,No,No,No,No,No,No
140,3146-MSEGF,72,Yes,Two year,Yes,Credit card (automatic),88.05,6425.65,No,Female,1,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
141,4080-OGPJL,8,Yes,Month-to-month,No,Electronic check,71.15,563.65,Yes,Female,0,No,No,Yes,DSL,Yes,No,No,Yes,No,Yes
142,1095-WGNGG,61,Yes,Two year,Yes,Bank transfer (automatic),101.05,5971.25,No,Female,0,Yes,No,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
143,2636-SJDOU,64,Yes,One year,Yes,Credit card (automatic),84.3,5289.05,No,Male,0,No,No,Yes,Fiber optic,Yes,Yes,No,No,No,No
144,1131-QQZEB,71,Yes,Two year,No,Bank transfer (automatic),23.95,1756.2,No,Male,1,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
145,5716-EZXZN,65,Yes,Two year,Yes,Credit card (automatic),99.05,6416.7,No,Female,0,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No
146,6837-BJYDQ,3,Yes,One year,No,Mailed check,19.6,61.35,No,Male,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
147,2135-RXIHG,1,Yes,Month-to-month,Yes,Electronic check,45.65,45.65,Yes,Male,0,No,No,No,DSL,No,No,No,No,No,No
148,6440-DKQGE,30,Yes,One year,No,Credit card (automatic),64.5,1929.95,No,Male,0,No,Yes,No,DSL,No,Yes,Yes,No,Yes,No
149,3466-BYAVD,15,Yes,Month-to-month,Yes,Mailed check,69.5,1071.4,No,Male,0,Yes,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes
150,3780-YVMFA,8,Yes,Month-to-month,Yes,Electronic check,68.55,564.35,No,Female,0,Yes,Yes,No,DSL,No,No,No,Yes,Yes,Yes
151,3874-EQOEP,7,Yes,Month-to-month,No,Mailed check,95.0,655.5,Yes,Male,0,No,No,Yes,Fiber optic,No,No,No,No,Yes,Yes
152,1679-JRFBR,70,Yes,One year,Yes,Credit card (automatic),108.15,7930.55,No,Female,0,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
153,9073-ZZIAY,62,Yes,Two year,No,Electronic check,86.1,5215.25,No,Male,0,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes
154,3077-RSNTJ,6,Yes,Month-to-month,No,Mailed check,19.7,113.5,No,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
155,6551-GNYDG,14,Yes,Month-to-month,Yes,Bank transfer (automatic),80.9,1152.8,No,Female,0,Yes,Yes,No,Fiber optic,No,No,No,No,No,Yes
156,9167-APMXZ,22,Yes,Month-to-month,Yes,Bank transfer (automatic),84.15,1821.95,No,Female,0,No,No,Yes,Fiber optic,No,No,No,No,Yes,No
157,2749-CTKAJ,22,Yes,One year,No,Mailed check,20.15,419.9,No,Male,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
158,6371-NZYEG,16,Yes,Two year,No,Mailed check,64.25,1024,No,Male,0,Yes,Yes,No,DSL,Yes,No,Yes,No,Yes,No
159,7554-NEWDD,10,Yes,Two year,No,Bank transfer (automatic),25.7,251.6,No,Male,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
160,8992-VONJD,13,Yes,Month-to-month,Yes,Electronic check,56.0,764.55,No,Female,0,No,Yes,No,DSL,Yes,Yes,No,No,No,No
161,0867-MKZVY,20,Yes,Month-to-month,No,Electronic check,82.4,1592.35,Yes,Female,0,Yes,No,Yes,Fiber optic,Yes,No,No,No,No,No
162,4482-EWFMI,2,Yes,Month-to-month,Yes,Electronic check,69.7,135.2,No,Female,0,No,No,No,Fiber optic,No,No,No,No,No,No
163,4648-YPBTM,53,Yes,Two year,Yes,Bank transfer (automatic),73.9,3958.25,No,Male,0,No,No,Yes,DSL,No,Yes,Yes,Yes,No,Yes
164,2907-ILJBN,11,Yes,One year,No,Mailed check,20.6,233.9,No,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
